"";"k";"alpha";"delta";"burnin";"iter";"thin";"keep";"seed";"perplexity"
"173";8;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;2923,21420499822
"174";8;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;2773,94883451821
"175";8;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;2855,97525526275
"176";9;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;2497,09252732077
"177";9;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;2830,56067414296
"178";9;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;2872,70319250506
"179";9;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;2758,76797843257
"180";9;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;2798,9381967435
"181";9;0,095346334669739;0,0449508819915354;100;1000;10;50;33;2488,89200173106
"182";9;0,095346334669739;0,0449508819915354;100;1000;10;50;33;2781,186170265
"183";9;0,095346334669739;0,0449508819915354;100;1000;10;50;33;2873,46015379449
"184";9;0,095346334669739;0,0449508819915354;100;1000;10;50;33;2746,22820620604
"185";9;0,095346334669739;0,0449508819915354;100;1000;10;50;33;2831,92097067459
"186";9;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;2426,48698827511
